Samples,GrahamScan,DC
1000,0.234920024872,0.063469171524
2000,0.0310430526733,0.0697960853577
3000,0.0307149887085,0.0787420272827
4000,0.0421650409698,0.0775117874146
5000,0.0574359893799,0.106840848923
6000,0.0586879253387,0.110738992691
7000,0.0647768974304,0.131031990051
8000,0.0749928951263,0.131867170334
10000,0.0899419784546,0.14894080162
15000,0.110619068146,0.177626848221
20000,0.143001079559,0.23136305809
25000,0.179594993591,0.269132852554
30000,0.212661027908,0.304614067078
100000,0.711807966232,1.07801389694
200000,1.51657700539,1.90839910507
300000,2.37552905083,3.0928940773
1000000,9.01187586784,11.8233118057
